epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.02641,2.58772,3.65789,1.98419,0.03833,0.38333,0.02998,0.01863,1.42531,3.32241,1.41695,2e-05,2e-05,2e-05
2,4.11004,2.53357,3.46289,1.98776,0.04833,0.48333,0.04009,0.02193,1.42378,3.31455,1.4055,4.812e-05,4.812e-05,4.812e-05
3,6.29645,2.25868,3.51613,1.64161,0.05167,0.51667,0.04247,0.02372,1.41751,3.30966,1.40197,6.04e-05,6.04e-05,6.04e-05
4,8.54581,1.8827,3.40197,1.47486,0.05833,0.58333,0.05113,0.02699,1.41458,3.30143,1.39576,5.684e-05,5.684e-05,5.684e-05
5,11.0611,1.77019,3.35134,1.39006,0.06167,0.61667,0.05645,0.02978,1.40676,3.2987,1.39327,3.744e-05,3.744e-05,3.744e-05
